_id,stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
65,wlPJRBNI,Kanakamamidi,Kanakamamidi,17.31323061,78.24891776,KANAKAMAMIDI ROAD twd Vikarabad
66,uCKYOKAS,Kethireddy Pally X Road,Kethireddy Pally X Road,17.31019106,78.22889235,KETHIREDDYPALLY X Road twd Vikarabad
67,R1auSRjt,Appareddyguda X Road,Appareddyguda X Road,17.31019618,78.223764,APPAREDDYGUDA X Road twd Vikarabad
68,YXAEgiIa,Tholkatta X Roads,Tholkatta X Roads,17.31345594,78.216919,THOLKATTA X Roads twd Vikarabad
69,nJkfMg0G,Mudimyal,Mudimyal,17.31947984,78.20895821,MUDIMYAL twd Vikarabad
70,BugaVeWl,Kandawada X Road,Kandawada X Road,17.30718218,78.18237483,KANDAWADA X ROAD twd Vikarabad
71,3F5hR7yF,Malkapur,Malkapur,17.312,78.172,MALKAPUR twd Vikarabad
72,SAhnyNt4,Kesaram,Kesaram,17.30638448,78.1610097,KESARAM twd Vikarabad
73,oi5Cgsii,Chevella Bs,Chevella Bs,17.313487,78.138914,CHEVELLA Bus Station
74,fTpo5ntA,Kesaram,Kesaram,17.30654741,78.16108078,KESARAM twd Himayatsagar
75,rFMmZ6lY,Malkapur,Malkapur,17.3122833,78.17197323,MALKAPUR twd Hyderanad
76,CExXC0fB,Kandawada X Road,Kandawada X Road,17.30725134,78.18241373,KANDAWADA X ROAD twd Himayatnagar
77,tFPKmxrs,Mudimyal,Mudimyal,17.31962449,78.20908695,MUDIMYAL twd Himayatsagar
78,cIwp9JJA,Tholkatta X Roads,Tholkatta X Roads,17.31348287,78.21698607,THOLKATTA X Roads twd MGBS
79,jAH3WOsZ,Appareddyguda X Road,Appareddyguda X Road,17.31022976,78.22377171,APPAREDDYGUDA X Road twd Hyderbad
80,03dKkFHP,Kethireddy Pally X Road,Kethireddy Pally X Road,17.31026017,78.22901845,KETHIREDDYPALLY X road twd MGBS
81,sUYRAR1o,Kanakamamidi,Kanakamamidi,17.31324847,78.2487917,KANAKAMAMIDI ROAD twd Himayat nagar
82,nfkRd9nz,Ayaan College,Ayaan College,17.31466329,78.25676423,AYAAN College twd Hyderabad
83,4BcvWaFF,Moinabad,Moinabad,17.328963,78.27318,MOINABAD twd Hyderabad
84,uboghRWM,Sathsang,Sathsang,17.33024299,78.28014672,SATSANG twd Mehdipatnam
85,kqVSR8tV,Decent Poultry,Decent Poultry,17.33127226,78.29315543,DECENT POULTRIES twd Mehdipatnam
86,EhiQ5Y3H,Jbiet College Amdapur X Road Bus Stop,Jbiet College Amdapur X Road Bus Stop,17.33162177,78.29738259,JBIET College twd Mehdipatnam
87,vZHy3ifq,Himayathnagar X Road,Himayathnagar X Road,17.33877669,78.31199256,HIMAYATH NAGAR  X ROAD  twd Mehdipatnam
88,F5kjgZBH,Aziz Nagar X Roads,Aziz Nagar X Roads,17.34418919,78.32465795,AZIZ Nagar X Road twd Mehdipatnam
89,2QgJHKxC,Osman Sagar X Rd,Osman Sagar X Rd,17.35319731,78.3305561,OSMAN Sagar X Road twd Mehdipatnam
90,b8ltroJx,Golden Farms,Golden Farms,17.35375407,78.34207087,GOLDEN FARM twd Mehdipatnam
91,kLUdNhDw,Appa Junction,Appa Junction,17.35084335,78.35830717,APPA twd Mehdipatnam
92,BOZ6ud3G,Kalimandir,Kalimandir,17.35245119,78.37686915,KALIMANDIR twd Mehdipatnam
93,Ed7fO2rc,Peeram Cheru,Peeram Cheru,17.35461106,78.37880742,PEERAMCHERU twd Mehdipatnam
94,IJzE9Z23,Bandlaguda X Road,Bandlaguda X Road,17.3598,78.3881,BANDLAGUDA X Road twd Mehdipatnam
95,dHUG4Xle,Suncity,Suncity,17.3651,78.3958,SUNCITY twd Mehdipatnam
96,GFxQbpHA,Tippu Khan Bridge,Tippu Khan Bridge,17.37109775,78.40446922,TIPPU KHAN BRIDGE twd Mehdipatnam
97,nIO17N4o,Bapu Nagar,Bapu Nagar,17.374278,78.417719,LUNGER HOUSE
98,9kJ7lz1Q,Langar House,Langar House,17.38158305,78.42183708,LANGER HOUSE twd Mehdipatnam
99,rBENVtQo,Nanal Nagar,Nanal Nagar,17.39548771,78.42732492,NANAL Nagar twd Mehidipatnam
100,q9jjNdnh,Mehdipatnam,Mehdipatnam,17.39527392,78.43979619,MEHDIPATNAM twd Secundrabad
101,F0sCusJT,Chandrayangutta,Chandrayangutta,17.32722719,78.47513793,CHANDRAYAN GUTTA twd Falaknuma
102,sifjiJIl,Farooqnagar,Farooqnagar,17.329644,78.470292,FAROOQNAGAR Bus Station
103,viDlsUWZ,Engine Bowli,Engine Bowli,17.33656622,78.46795012,ENGINE BOWLI twd Afzalgunj
104,8YMIlyS3,Falaknuma Depot,Falaknuma Depot,17.33722755,78.467025,FALAKNUMA Bus Depot
105,W4vA60DC,Sarojini Devi Hospital,Sarojini Devi Hospital,17.398719,78.444326,SAROJINI DEVI Hospital twd Koti
106,VKioR5jw,Nmdc,Nmdc,17.39896148,78.44955236,NMDC twd Uppal
107,m9io71dj,Masab Tank,Masab Tank,17.4042608,78.45190465,MASAB Tank twd Jublee Hills
108,qo0aajne,Pension Office,Pension Office,17.40747384,78.45108453,PENSION OFFICE twd Panjagutta
109,0UenuDJ9,Care Hospital-Banjara Hills,Care Hospital-Banjara Hills,17.41362673,78.45043346,CARE Hospital twd Secunderabad
110,ppmUDuzH,Banjarahills Road No 7,Banjarahills Road No 7,17.41680678,78.44879329,BANJARA HILLS Road no 7 Taj Krishna twd Punjagutta
111,cz4pE5ER,Gvk Mall,Gvk Mall,17.41873099,78.44810396,G.V.K. twd Ameerpet
112,ueRNhDvS,Nims Hospital,Nims Hospital,17.42195336,78.44911516,NIMS Hospital twd Uppal
113,knSGAN1e,Punjagutta,Punjagutta,17.42662104,78.45111072,PANJAGUTA twd Secunderabad
114,V9ddvO25,Green Land,Green Land,17.43072699,78.45590785,GREENLAND twd Begumpet
115,qRKZzfuC,Rj College,Rj College,17.4350377,78.45528692,RJ COLLEGE twd Secunderbad
116,vmdvxAEq,Hps Begumpet,Hps Begumpet,17.44279925,78.45889147,BEGUMPET HPS twd Secunderabad
117,sNtT8ZDC,Shyamlal Begumpet,Shyamlal Begumpet,17.444383,78.461112,SHYAMLAL twd Secunderabad
118,GjAAZkb2,Shoppers Stop Begumpet,Shoppers Stop Begumpet,17.44512232,78.46500189,SHOPPERS STOP twd Secunderabad
119,Q6FWRb1R,Prakash Nagar Begumpet,Prakash Nagar Begumpet,17.4443061,78.47153045,PRAKASH Nagar twd Secunderabad
120,joW0g0Qq,Police Lines,Police Lines,17.443691,78.478073,POLICE LINE twd Secunderabad
121,Cmq2kMFs,Wesley College,Wesley College,17.44347191,78.48205269,WESLEY COLLEGE twd Sec-bad
122,PwJCFyTq,Paradise,Paradise,17.44349494,78.48664999,PARADISE METRO STN twd Secunderabad
123,KIkHjkpt,Plaza,Plaza,17.44330305,78.49065723,PLAZA twd Secunderabad
124,X0STVNy1,Patny,Patny,17.44318276,78.49624693,PATNY twd Secunderabad
125,QeBJG7EM,Secunderabad,Secunderabad,17.44294733,78.50370884,ST ANNS twd Rathifile bus station
126,TaPAXfJn,Sangeeth-Isckon,Sangeeth-Isckon,17.44116763,78.50563601,SANGEETH Cross Road twd Chilkalguda
127,whMygxc9,Secunderabad,Secunderabad,17.4371306,78.50514797,BLUESEA CAFE twd Tarnaka
128,G7Crwnuu,Chilkalguda,Chilkalguda,17.43330525,78.50677192,CHILKALGUDA twd Uppal
129,HxjRAjhe,Alugadda Bhavi,Alugadda Bhavi,17.435588,78.514285,ALUGADDABAVI twd Uppal
130,UXUFKwWS,Mettuguda,Mettuguda,17.434563,78.520907,METTUGUDA twd Uppal
131,are2VdTm,Tarnaka,Tarnaka,17.42580594,78.53271961,TARNAKA twd Yadagirigutta
132,8w1CBdo1,Habsiguda,Habsiguda,17.42129738,78.53977583,HABSIGUDA twd Uppal
133,jtlvGReR,Hmt Nagar,Hmt Nagar,17.42443969,78.54731418,HMT NAGAR twd Mallapur
134,vuGTfEKr,Nacharam,Nacharam,17.42808217,78.55094254,NACHARAM Village twd Mallapur
135,2b3B8JFF,Esi Hospital Nacharam,Esi Hospital Nacharam,17.43094713,78.55324522,NACHARAM ESI HOSPITAL twd Mallapur
136,hjFi7eQB,Nacharam X Road,Nacharam X Road,17.43363563,78.55445891,NACHARAM X RD twd Chengicherla
137,U3ikAqGd,Delhi Tubes Nacharam,Delhi Tubes Nacharam,17.43830023,78.55833944,DELHI Tubes twd Mallapur
138,LwrbPeVu,Janapriya - Mallapur,Janapriya - Mallapur,17.44177322,78.56528165,JANAPRIYA twd ECIL
139,S6LmWE5N,Mallapur Village,Mallapur Village,17.44548828,78.56740594,MALLAPUR BUS STOP twd Ecil
140,YMEKiiCq,Noma Function Hall,Noma Function Hall,17.44719502,78.57199788,NOMA twd Chengicharla
141,ko9Sd2Em,Nfc X Roads,Nfc X Roads,17.44847058,78.57579455,NFC X ROADS twd Cherlapally
142,pLgbAwvD,Ashoknagar-Mallapur,Ashoknagar-Mallapur,17.45000455,78.58082906,ASHOK NAGAR twd ECIL
143,9mgpyHL4,Hcl,Hcl,17.45555446,78.581737,HCL X Road twd Cherlapally
144,giCRzBi8,Ecil Gate,Ecil Gate,17.46740597,78.57388616,ECIL Factory twd Mallapur
145,4wFW2Us9,Ecil X Road,Ecil X Road,17.47205984,78.57107788,ECIL X ROAD twd Uppal
146,Q2XxpKE2,Kushaiguda,Kushaiguda,17.48031836,78.57501537,KUSHAIGUDA twd Ghatkesar
147,3a2eLPl2,Nagarjuna Nagar Clny,Nagarjuna Nagar Clny,17.4801444,78.58167026,NAGARJUNA Nagar twd Nagaram
148,Y7DNcZgJ,Chakripuram,Chakripuram,17.47877589,78.58613849,CHAKRIPURAM twd Charlapally
149,ltOoIRPh,Cherlapally Water Tank,Cherlapally Water Tank,17.47128366,78.59696757,WATER TANK twd Cherlapally
150,GTRQRJwL,Cherlapally Railway Station,Cherlapally Railway Station,17.45904065,78.60438825,CHERLAPALLY Railway Station twd Cherlapally
151,suDhrwkI,Cherlapally,Cherlapally,17.46328524,78.6114545,CHERLAPALLY Bus Stand
152,noE4riD7,Cherlapally Railway Station,Cherlapally Railway Station,17.4593029,78.60471278,CHERLAPALLY Railway Station twd Mallapur
153,0NDQJIGP,Chakripuram,Chakripuram,17.47920036,78.58546793,CHAKRIPURAM twd Secunderabad
154,fUjweVGF,Nagarjuna Nagar Clny,Nagarjuna Nagar Clny,17.47988472,78.58190194,NAGARJUNA Nagar twd Secunderabad
155,vQw0DmF3,Kushaiguda,Kushaiguda,17.48034395,78.57518468,KUSHAIGUDA twd Secunderabad
156,L9yKLGu1,Hcl,Hcl,17.45525778,78.58136952,HCL X ROAD twd ECIL
157,hTYT4HDY,Ecil Gate,Ecil Gate,17.46724739,78.57389152,ECIL FACTORY twd ECIL X Road
158,x7w566Y0,Delhi Tubes Nacharam,Delhi Tubes Nacharam,17.43809938,78.55823099,DELHI Tubes twd Nacharam
159,iicT2HB0,Nacharam X Road,Nacharam X Road,17.43346652,78.55520992,NACHARAM X ROAD twd Uppal
160,KXSa7N9r,Hmt Nagar,Hmt Nagar,17.42402879,78.54717135,HMT NAGAR twd Tarnaka
161,Vu61jLWF,Habsiguda,Habsiguda,17.421528,78.538962,HABSIGUDA twd Tarnaka
162,jyBSJxcj,Tarnaka,Tarnaka,17.42570614,78.53222742,TARNAKA twd Secunderabad
163,7kbuoXmo,Mettuguda,Mettuguda,17.43620172,78.52066007,METTUGUDA twd Secunderabad railway station
164,V2FZzv9s,Alugadda Bhavi,Alugadda Bhavi,17.43531413,78.51438403,ALUGADDA BHAVI twd JBS
165,CFbXbiQw,Chilkalguda,Chilkalguda,17.43306215,78.50638295,CHILKALGUDA X Road twd Secunderabad
166,u3bvsFOc,Secunderabad,Secunderabad,17.434259,78.501577,SECUNDERABAD Railway Station
167,ok41NPb5,Patny,Patny,17.44296008,78.49667341,PATNY twd Begumpet
168,YPoQZzru,Plaza,Plaza,17.44320462,78.49011942,PLAZA twd Begumpet
169,GVLWcO80,Paradise,Paradise,17.44314095,78.48621763,PARADISE Metro Station twd Begumpet
170,C5RkuVFZ,Wesley College,Wesley College,17.44334722,78.48193144,WESLEY COLLEGE twd Begumpet
171,jwo9ywmN,Police Lines,Police Lines,17.44365106,78.47499311,POLICE LINES twd Ameerpet
172,b6Ed1APh,Prakash Nagar Begumpet,Prakash Nagar Begumpet,17.44399184,78.47139359,PRAKASH Nagar twd Begumpet
173,xjTl0c9a,Shoppers Stop Begumpet,Shoppers Stop Begumpet,17.44483962,78.46490432,SHOPPER STOP twd Ameerpet
174,0QXQxf3w,Shyamlal Begumpet,Shyamlal Begumpet,17.44420962,78.46172825,SHYAMLAL  BANGLA twd Ameerpet
175,vICEAYpg,Hps Begumpet,Hps Begumpet,17.44255487,78.45927805,BEGUMPET HPS twd Ameerpet
176,KgDSpIOK,Rj College,Rj College,17.4349994,78.45557926,RJ COLLEGE twd Panjagutta
177,AWE6D07a,Punjagutta,Punjagutta,17.42645225,78.45141113,PUNJAGUTTA twd Mehdipatnam
178,2GQGAQJB,Nims Hospital,Nims Hospital,17.42145924,78.44896227,NIMS twd Mehdipatnam
179,MCux42LE,Gvk Mall,Gvk Mall,17.41794804,78.4490186,GVK MALL twd Koti
180,sIoTCd6R,Banjarahills Road No 7,Banjarahills Road No 7,17.41633183,78.44893545,BANJARA HILLS Road no 7 Taj Krishna twd Mehdipatnam
181,A3gmwwj9,Care Hospital-Banjara Hills,Care Hospital-Banjara Hills,17.41363281,78.45061183,CARE Hospital twd RGIA
182,0EWpgffm,Pension Office,Pension Office,17.40788489,78.45115899,PENSION OFFICE twd Mehdipatnam
183,wPpbiQd0,Masab Tank,Masab Tank,17.40416358,78.4522453,MASAB TANK twd Lakdikapul
184,xLkxr76E,Nmdc,Nmdc,17.39877841,78.44944775,NMDC twd Mehdipatnam
185,gV9iNXAG,Sarojini Devi Hospital,Sarojini Devi Hospital,17.39854304,78.44446689,SAROJINI DEVI HOSPITAL twd Lingampally
186,BJCimp4m,Mehdipatnam,Mehdipatnam,17.39446381,78.4394866,MEHDIPATNAM
187,2ZWzuUTZ,Tippu Khan Bridge,Tippu Khan Bridge,17.37339446,78.40440271,TIPPU KHAN twd Shankarpally
188,jsSYaRZ9,Ramdev Guda,Ramdev Guda,17.37523733,78.39603963,RAMDEVGUDA twd Shankerpally
189,n1MXMQMq,Age Bar,Age Bar,17.37656394,78.38581838,AGE BAR  twd Narsingi
190,Pm13hpJV,Ibrahim Bagh,Ibrahim Bagh,17.37671497,78.38191777,IBRAHIM BAGH twd Narsing
191,DJ1vRbAq,Taramathi,Taramathi,17.37678856,78.3789137,TARAMATHI twd Shankarpally
192,4gvSfGeB,Neknapur,Neknapur,17.37894518,78.36991489,NEKNAPUR twd Shankarpally
193,kPZTFaTS,Hanuman Temple,Hanuman Temple,17.381,78.367,HANUMAN TEMPLE twd Shankarpally
194,AmuowBqz,Narsinghi,Narsinghi,17.38423134,78.361421,NARSINGI twd Gandipet
195,iGveCYEN,Kokapet X Rd,Kokapet X Rd,17.387619,78.341096,KOKAPET X ROAD twd ICFAI
196,7SoNNXKp,Grape Garden,Grape Garden,17.38682269,78.33802879,GRAPED GARDEN twd Khanpur
197,sFWHBI1O,Gandipet X Road,Gandipet X Road,17.385,78.331,GANDIPET X ROAD  twd Shankarpally
198,fh2ezkIf,Cbit,Cbit,17.39353559,78.32022429,CBIT twd Shankarpalli
199,2StGQPKr,Mile Stone,Mile Stone,17.3962497,78.31107795,CBIT HOSTEL twd Shankerpalli
200,R37p0OO9,Khanapur,Khanapur,17.397,78.302,KHANAPUR twd Mokila
201,pqdPrHsX,Miyakhan Gadda,Miyakhan Gadda,17.40493392,78.28495592,MIYAKHAN GADDA twd Ibs
202,ouE3tJiF,Janwada X Road,Janwada X Road,17.41273737,78.26676518,JANWADA X ROAD twd Ibs
203,VRc2v6Sq,Kollur X Road,Kollur X Road,17.41777399,78.24990481,KOLLUR X ROAD twd Mokila
204,B2E1U0Po,Dontapally,Dontapally,17.41855584,78.22431786,DONTHANAPALLY X ROADtwd Shankarpally
205,Bots9uZJ,Indian Business School ( Ibs ),Indian Business School ( Ibs ),17.41892564,78.21693778,IBS twd Shankarpally
206,bSu8VLLo,Proddutur X Roads,Proddutur X Roads,17.422,78.21,PRODDUTUR X ROAD twd Shankarpally
207,1EbmKtfx,Mokila Bus Stop,Mokila Bus Stop,17.43199217,78.18975594,MOKILA twd Shankarpalli
208,pzXN1H4j,Bulkapur,Bulkapur,17.44480251,78.15878749,BULKAPUR twd Shankarpally
209,4XkSMGtG,Bhanur X Road,Bhanur X Road,17.453,78.144,BHANUR X Road twd Shankarpally
210,UCQMGasG,Shankarpally Bus Station,Shankarpally Bus Station,17.45583,78.13135,SHANKARPALLY Bus Station
211,0WxpWnzH,Bhanur X Road,Bhanur X Road,17.45333479,78.14411983,BHANUR X Road twd Mehdipatnam
212,hiYDONWZ,Bulkapur,Bulkapur,17.44489463,78.15888673,BULKAPUR twd Mehdipatnam
213,GzMVZaMe,Mokila,Mokila,17.43346648,78.1868729,MOKILA twd Gandipet
214,oTBBk3lA,Proddutur X Roads,Proddutur X Roads,17.42231401,78.21024298,PRODDUTUR X ROAD twd Mehdipatnam
215,lk3b2qDU,Indian Business School ( Ibs ),Indian Business School ( Ibs ),17.41875994,78.2177458,IBS twd Mehdipatnam
216,Io40sLXx,Dontapally,Dontapally,17.41867995,78.22393298,DONTHANPALLY X ROAD twd Mehdipatnam
217,ytvCxXFb,Kollur X Road,Kollur X Road,17.41774328,78.25076044,KOLLUR X ROAD twd Khanapur
218,ev6wgDXG,Janwada X Road,Janwada X Road,17.41281415,78.26687515,JANWADA X ROAD twd Narsing
219,oFhCBRcF,Miyakhan Gadda,Miyakhan Gadda,17.405,78.286,MIYAKHAN GADDA twd Khanapur
220,hYWlKusT,Khanapur,Khanapur,17.39729652,78.30198258,KHANAPUR twd Narsing
221,qNee7vZl,Mile Stone,Mile Stone,17.39627529,78.3115983,CBIT HOSTEL twd Mehdipatnam
222,3Z4AuAHK,Cbit,Cbit,17.39367488,78.3202672,CBIT twd Mehdipatnam
223,SRmJE3Ta,Gandipet X Road,Gandipet X Road,17.386,78.331,GANDIPET X ROAD  twd Ramdev guda
224,bakKI0au,Grape Garden,Grape Garden,17.387,78.338,GRAPES GARDEN twd Langer House
225,EhRIzJx4,Kokapet X Rd,Kokapet X Rd,17.388022,78.341466,KOKAPET X ROAD twd Uppal
226,Pm5Rl4ZJ,Narsingi X Roads,Narsingi X Roads,17.38546351,78.35548058,MANCHIREVULA X ROAD twd Mehdipatnam
227,1SdlIEjc,Hanuman Temple,Hanuman Temple,17.38024427,78.36837798,HANUMAN TEMPLE twd Mehdipatnam
228,JXAl0tDW,Neknapur,Neknapur,17.379,78.37,NEKNAPUR twd Mehdiptnam
229,YEipNxZK,Taramathi,Taramathi,17.37689863,78.37893382,TARAMATHI twd Mehdipatnam
230,mFHd1TsQ,Ibrahim Bagh,Ibrahim Bagh,17.37684488,78.38185612,IBRAHIM BAGH twd Mehdiptnam
231,YLvpA2j1,Age Bar,Age Bar,17.37666314,78.38585861,AGE BAR twd Mehidipatnam
232,PlLbsGM1,Ramdev Guda,Ramdev Guda,17.37512219,78.39702129,RAMDEVGUDA twd Mehdiptnam
233,JfIOK0oA,Tippu Khan Bridge,Tippu Khan Bridge,17.37335842,78.40511352,TIPPU KHAN twd MP
234,uA8YdKKq,Narsingi X Roads,Narsingi X Roads,17.38531377,78.35566498,MANCHIREVULA X Road twd Gandipet
235,VXQBI5es,Narsinghi,Narsinghi,17.38565288,78.35448951,NARSINGI
236,pJbQlUdV,Hayathnagar Bus Depot,Hayathnagar Bus Depot,17.32652505,78.59324098,HAYATNAGAR-1 Bus Depot
237,2uOlQMbc,Hayathnagar Bus Depot,Hayathnagar Bus Depot,17.33011503,78.59437287,HAYATH Nagar Depot twd Hayath nagar
238,9TGZiwiy,Rtc Colony-Hyt,Rtc Colony-Hyt,17.328654,78.598786,RTC Colony twd Hayatnagar
239,BsjNAyiG,Hayathnagar,Hayathnagar,17.32731994,78.60489331,HAYATHNAGAR Bus Station
240,qQ2eggZ4,Hayathnagar,Hayathnagar,17.32707761,78.60373244,HAYATHNAGAR twd LBNagar
